SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Spread
158,USD Coin,USDC,2019-03-15,1.01961995033,1.01415984469,1.01630649921,1.01526042417,30356978.9465883,242997570.829272,0.005460105640000101
159,USD Coin,USDC,2019-03-16,1.01865722119,1.01129772164,1.01604384633,1.01542822237,35637111.8826974,243037194.799407,0.007359499549999926
160,USD Coin,USDC,2019-03-17,1.02356701174,1.01436096386,1.01505186078,1.01944921748,38655613.792982,243982004.876163,0.009206047880000012
161,USD Coin,USDC,2019-03-18,1.02203228726,1.01079388804,1.02042467731,1.01539826615,41889761.4379871,243412426.788813,0.011238399220000028
162,USD Coin,USDC,2019-03-19,1.0210187047,1.01435394257,1.01560016451,1.0161522442,34394866.8053733,243793849.472256,0.0066647621300000015
163,USD Coin,USDC,2019-03-20,1.01771524693,1.00999036425,1.01686940042,1.01415768624,43164010.9048732,243880395.527675,0.007724882679999823
164,USD Coin,USDC,2019-03-21,1.01682763694,1.01055607713,1.01364436313,1.01404819022,43135934.5021466,247007932.441517,0.006271559810000049
165,USD Coin,USDC,2019-03-22,1.01771546033,1.00865964234,1.01359974783,1.00901561814,33465329.2055476,246609279.864952,0.009055817989999992
166,USD Coin,USDC,2019-03-23,1.01511670392,1.00746187032,1.00915740808,1.0122136053,23348602.3508322,247863704.156413,0.007654833599999966
167,USD Coin,USDC,2019-03-24,1.01277154854,1.00336606807,1.01132427102,1.00805446813,17336323.5999418,247226412.378138,0.009405480469999894
168,USD Coin,USDC,2019-03-25,1.02425423943,1.00624827784,1.00874565581,1.01281287498,34431702.8373443,249298995.119808,0.01800596159000012
169,USD Coin,USDC,2019-03-26,1.01508114143,1.00907005156,1.01340524658,1.01250810971,33876853.6688005,248448913.42664,0.006011089870000097
170,USD Coin,USDC,2019-03-27,1.0196587558,1.01105399625,1.01251433384,1.01614433688,37698423.0212232,249648527.365171,0.008604759550000063
171,USD Coin,USDC,2019-03-28,1.02060060735,1.00638709315,1.0164346292,1.01379506689,28392575.8201175,249534401.240235,0.014213514199999944
172,USD Coin,USDC,2019-03-29,1.01508948204,0.998832725237,1.01379506689,1.00252876975,37377860.589034,246925870.833356,0.016256756803000094
173,USD Coin,USDC,2019-03-30,1.04914887673,0.99295486557,1.0009469927,1.00199025904,26227080.5301897,246478129.794475,0.05619401115999989
174,USD Coin,USDC,2019-03-31,1.00805671181,0.998964933011,1.00199025904,1.00149442646,24262614.9845735,246270110.995094,0.009091778798999917
175,USD Coin,USDC,2019-04-01,1.00590993097,0.994119235703,1.00139377883,1.00263332508,30912903.4848444,253290030.608456,0.01179069526699994
176,USD Coin,USDC,2019-04-02,1.02261042935,0.99383033057,1.00233756481,1.00192978945,75355543.155633,257154540.534726,0.028780098779999985
177,USD Coin,USDC,2019-04-03,1.02485519708,0.989150280302,1.00195044797,1.00092865146,87987039.8900176,256492829.340727,0.03570491677799992
178,USD Coin,USDC,2019-04-04,1.00699046026,0.997175518004,1.0009804277,1.00234452814,52686901.6552618,257700786.673595,0.009814942255999992
179,USD Coin,USDC,2019-04-05,1.00974185721,1.00014972288,1.00270254621,1.00279939485,43799308.2361063,261161960.131733,0.009592134330000057
180,USD Coin,USDC,2019-04-06,1.01186313675,0.997351268699,1.00323024412,1.00100216066,43756480.940674,260706590.663,0.01451186805099991
181,USD Coin,USDC,2019-04-07,1.01326275706,0.998052294502,1.00042210757,1.00535896685,43184041.9056321,262035385.091302,0.01521046255799996
182,USD Coin,USDC,2019-04-08,1.0080371714,0.9936602456,1.00574914031,1.00212752018,49978404.9024319,261528845.328375,0.014376925800000051
183,USD Coin,USDC,2019-04-09,1.00402325118,0.996617352342,1.00212752018,1.00118099412,40372953.8541368,266472461.024497,0.007405898838000025
184,USD Coin,USDC,2019-04-10,1.014706009,0.995967308853,1.00097336553,1.00137928384,48590445.3053357,263097191.103548,0.018738700146999965
185,USD Coin,USDC,2019-04-11,1.00568207499,0.997778754993,1.00167419538,1.00282582759,63695456.6978786,259775722.928484,0.007903319997000002
186,USD Coin,USDC,2019-04-12,1.00583329334,0.998883926862,1.00257929488,1.00289777095,44545387.0164488,259999113.885201,0.006949366478000041
187,USD Coin,USDC,2019-04-13,1.00611466774,1.0003046846,1.00302645332,1.00406701389,35520364.6822415,260490479.511659,0.005809983139999808
188,USD Coin,USDC,2019-04-14,1.00990027541,0.99941426739,1.00406701389,1.00802489491,31692817.8708168,261528325.935742,0.010486008019999882
